% Daily open value of the Dow Jones Industrial (DJI) Average 
%                  from 1/1/14 to 2/17/19
%
%   Normalized        Open 
%      Time           Value                
%
%      (x)              (y)
%
   0.0000000e+00   1.6572170e+04
   7.7579519e-04   1.6456891e+04
   1.5515904e-03   1.6474039e+04
   2.3273856e-03   1.6429020e+04
   3.1031808e-03   1.6527660e+04
   3.8789760e-03   1.6471410e+04
   4.6547711e-03   1.6453619e+04
   5.4305663e-03   1.6434029e+04
   6.2063615e-03   1.6261990e+04
   6.9821567e-03   1.6378030e+04
   7.7579519e-03   1.6477699e+04
   8.5337471e-03   1.6408020e+04
   9.3095423e-03   1.6459270e+04
   1.0085337e-02   1.6420480e+04
   1.0861133e-02   1.6371990e+04
   1.1636928e-02   1.6203290e+04
   1.2412723e-02   1.5879050e+04
   1.3188518e-02   1.5840840e+04
   1.3964313e-02   1.5927080e+04
   1.4740109e-02   1.5743030e+04
   1.5515904e-02   1.5847190e+04
   1.6291699e-02   1.5697690e+04
   1.7067494e-02   1.5372930e+04
   1.7843289e-02   1.5443000e+04
   1.8619085e-02   1.5443830e+04
   1.9394880e-02   1.5630640e+04
   2.0170675e-02   1.5793630e+04
   2.0946470e-02   1.5804170e+04
   2.1722265e-02   1.5993040e+04
   2.2498061e-02   1.5946990e+04
   2.3273856e-02   1.6018080e+04
   2.4049651e-02   1.6153970e+04
   2.4825446e-02   1.6126230e+04
   2.5601241e-02   1.6044150e+04
   2.6377036e-02   1.6135920e+04
   2.7152832e-02   1.6102270e+04
   2.7928627e-02   1.6207340e+04
   2.8704422e-02   1.6180360e+04
   2.9480217e-02   1.6197700e+04
   3.0256012e-02   1.6273230e+04
   3.1031808e-02   1.6321710e+04
   3.1807603e-02   1.6169320e+04
   3.2583398e-02   1.6395881e+04
   3.3359193e-02   1.6360560e+04
   3.4134988e-02   1.6424529e+04
   3.4910784e-02   1.6453100e+04
   3.5686579e-02   1.6419391e+04
   3.6462374e-02   1.6350670e+04
   3.7238169e-02   1.6341550e+04
   3.8013964e-02   1.6106320e+04
   3.8789760e-02   1.6066370e+04
   3.9565555e-02   1.6245930e+04
   4.0341350e-02   1.6335710e+04
   4.1117145e-02   1.6221980e+04
   4.1892940e-02   1.6332690e+04
   4.2668735e-02   1.6303280e+04
   4.3444531e-02   1.6279200e+04
   4.4220326e-02   1.6370710e+04
   4.4996121e-02   1.6268670e+04
   4.5771916e-02   1.6267770e+04
   4.6547711e-02   1.6324220e+04
   4.7323507e-02   1.6458051e+04
   4.8099302e-02   1.6532801e+04
   4.8875097e-02   1.6572359e+04
   4.9650892e-02   1.6576020e+04
   5.0426687e-02   1.6414150e+04
   5.1202483e-02   1.6245160e+04
   5.1978278e-02   1.6256370e+04
   5.2754073e-02   1.6437240e+04
